Issue #,Issue Opened Time (s),Issue Closed Time (s),Issue Total Alive Time (s),Label Name,Label Action,Event Time (s),Update Time (s),User Name,Num of Comments,Milestone Name,Milestone Created Time (s),Milestone Closed Time (s),Milestone Due Date (s),Milestone Total Issues
15,1424038415.0,1424095567.0,57152.0,feature QA,unlabeled,1424038617.0,1424189075.0,C,6,None,None,None,None,0
16,1424038497.0,1424095792.0,57295.0,question,labeled,1424038497.0,1424095792.0,C,5,None,None,None,None,0
17,1424038936.0,1424277922.0,238986.0,feature request,labeled,1424038936.0,1424277922.0,A,2,None,None,None,None,0
18,1424052954.0,1424055629.0,2675.0,branch list,labeled,1424053207.0,1424056782.0,C,10,None,None,None,None,0
19,1424055412.0,1424095768.0,40356.0,testing,labeled,1424055412.0,1424095768.0,C,1,None,None,None,None,0
20,1424057134.0,1424448541.0,391407.0,feature request,labeled,1424057134.0,1424448541.0,B,12,None,None,None,None,0
20,1424057134.0,1424448541.0,391407.0,feature request,unlabeled,1424108915.0,1424448541.0,B,12,None,None,None,None,0
20,1424057134.0,1424448541.0,391407.0,feature dev,labeled,1424108916.0,1424448541.0,B,12,None,None,None,None,0
20,1424057134.0,1424448541.0,391407.0,feature QA,labeled,1424322987.0,1424448541.0,B,12,None,None,None,None,0
20,1424057134.0,1424448541.0,391407.0,feature dev,unlabeled,1424322987.0,1424448541.0,B,12,None,None,None,None,0
20,1424057134.0,1424448541.0,391407.0,feature complete,labeled,1424448540.0,1424448541.0,B,12,None,None,None,None,0
20,1424057134.0,1424448541.0,391407.0,feature QA,unlabeled,1424448540.0,1424448541.0,B,12,None,None,None,None,0
21,1424095735.0,1424815974.0,720239.0,branch,labeled,1424095735.0,1424874435.0,C,11,v0.1,1424538641.0,1425168047.0,1425013200.0,3
21,1424095735.0,1424815974.0,720239.0,testing,labeled,1424095735.0,1424874435.0,C,11,v0.1,1424538641.0,1425168047.0,1425013200.0,3
21,1424095735.0,1424815974.0,720239.0,deployment,labeled,1424095735.0,1424874435.0,C,11,v0.1,1424538641.0,1425168047.0,1425013200.0,3
